iter	Passed	Remaining
0	5	554
1	10	526
2	16	524
3	22	529
4	28	535
5	33	531
6	39	530
7	45	523
8	51	522
9	57	517
10	62	509
11	69	508
12	75	504
13	81	502
14	89	505
15	95	500
16	101	495
17	107	490
18	113	484
19	119	479
20	125	473
21	131	466
22	137	459
23	143	453
24	149	447
25	155	442
26	161	437
27	168	432
28	174	427
29	181	422
30	186	416
31	192	409
32	199	404
33	205	398
34	211	393
35	218	387
36	224	382
37	231	378
38	238	372
39	244	367
40	252	363
41	258	357
42	264	350
43	270	343
44	276	337
45	282	331
46	289	326
47	295	320
48	301	313
49	308	308
50	314	302
51	321	296
52	326	289
53	332	283
54	338	276
55	344	270
56	349	263
57	355	257
58	361	251
59	367	245
60	372	237
61	378	231
62	386	226
63	393	221
64	400	215
65	407	209
66	413	203
67	420	197
68	426	191
69	433	185
70	442	180
71	449	174
72	457	169
73	464	163
74	472	157
75	478	151
76	486	145
77	494	139
78	501	133
79	508	127
80	516	121
81	524	115
82	537	110
83	547	104
84	557	98
85	565	92
86	576	86
87	586	80
88	598	73
89	607	67
90	615	60
91	625	54
92	634	47
93	644	41
94	652	34
95	661	27
96	669	20
97	679	13
98	688	6
99	696	0
